Altium Designer Pick and Place Locations
C:\ELI\rt_super\MK76\mixdowns\A\CCA\RT_SUPER__MK_76_PICK_PLACE__A.csv

========================================================================================================================
File Design Information:

Date:       18/11/23
Time:       21:46
Revision:   f0b929d69c700d2b5308ad0ca989cd891f9a10c0
Variant:    A
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer Part Number","Supplier 1","Supplier Part Number 1"
"T70","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","14.6050","33.0200","180","","","",""
"T69","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","15.8750","35.5600","180","","","",""
"T68","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","17.1450","33.0200","180","","","",""
"T67","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","18.4150","35.5600","180","","","",""
"T66","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","19.6850","33.0200","180","","","",""
"T65","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","20.9550","35.5600","180","","","",""
"T64","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","22.2250","33.0200","180","","","",""
"T63","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","23.4950","35.5600","180","","","",""
"T62","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","24.7650","33.0200","180","","","",""
"T61","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","26.0350","35.5600","180","","","",""
"T60","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","27.3050","33.0200","180","","","",""
"T59","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","28.5750","35.5600","180","","","",""
"T57","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","29.8450","180","","","",""
"T56","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","28.5750","180","","","",""
"T55","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","27.3050","180","","","",""
"T54","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","26.0350","180","","","",""
"T53","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","24.7650","180","","","",""
"T52","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","23.4950","180","","","",""
"T51","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","22.2250","180","","","",""
"T50","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","20.9550","180","","","",""
"T49","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","19.6850","180","","","",""
"T48","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","18.4150","180","","","",""
"T47","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","17.1450","180","","","",""
"T46","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","15.8750","180","","","",""
"T45","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","14.6050","180","","","",""
"T44","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","13.3350","180","","","",""
"T43","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","12.0650","180","","","",""
"T42","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","10.7950","180","","","",""
"T41","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","9.5250","180","","","",""
"T40","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","35.5600","8.2550","180","","","",""
"T39","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","33.0200","6.9850","180","","","",""
"T38","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","29.8450","3.8100","180","","","",""
"T37","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","28.5750","1.2700","180","","","",""
"T36","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","27.3050","3.8100","180","","","",""
"T35","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","26.0350","1.2700","180","","","",""
"T34","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","24.7650","3.8100","180","","","",""
"T33","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","23.4950","1.2700","180","","","",""
"T32","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","22.2250","3.8100","180","","","",""
"T31","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","20.9550","1.2700","180","","","",""
"T30","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","19.6850","3.8100","180","","","",""
"T29","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","18.4150","1.2700","180","","","",""
"T28","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","17.1450","3.8100","180","","","",""
"T27","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","15.8750","1.2700","180","","","",""
"T26","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","14.6050","3.8100","180","","","",""
"T25","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","13.3350","1.2700","180","","","",""
"T24","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","12.0650","3.8100","180","","","",""
"T23","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","10.7950","1.2700","180","","","",""
"T22","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","9.5250","3.8100","180","","","",""
"T21","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","8.2550","1.2700","180","","","",""
"T20","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","6.9850","3.8100","180","","","",""
"T19","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","6.9850","180","","","",""
"T18","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","8.2550","180","","","",""
"T17","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","9.5250","180","","","",""
"T16","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","10.7950","180","","","",""
"T15","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","12.0650","180","","","",""
"T14","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","13.3350","180","","","",""
"T13","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","14.6050","180","","","",""
"T12","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","15.8750","180","","","",""
"T11","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","17.1450","180","","","",""
"T10","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","18.4150","180","","","",""
"T9","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","19.6850","180","","","",""
"T8","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","20.9550","180","","","",""
"T7","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","22.2250","180","","","",""
"T6","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","23.4950","180","","","",""
"T5","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","24.7650","180","","","",""
"T4","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","26.0350","180","","","",""
"T3","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","27.3050","180","","","",""
"T2","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","1.2700","28.5750","180","","","",""
"T1","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","3.8100","29.8450","180","","","",""
"TP1","SMT_TEST","TopLayer","SMT_TP_-_20","16.3233","8.2587","180","","","",""
"R11","0","TopLayer","R0402_0.40MM_HD","14.4780","5.4610","180","RES 0.0 OHM 1/10W JUMP 0402 SMD","ERJ-2GE0R00X","Digi-Key","P0.0JCT-ND"
"R8","100k","TopLayer","R0402_0.40MM_HD","29.5063","17.6797","0","RES 100K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1003X","Digi-Key","P100KLCT-ND"
"R13","100k","TopLayer","R0402_0.40MM_HD","5.6388","9.0546","0","RES 100K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1003X","Digi-Key","P100KLCT-ND"
"C17","0.1uF 6v","BottomLayer","C0201_PERFECT","10.4772","20.8311","180","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C16","0.1uF 6v","BottomLayer","C0201_PERFECT","8.8646","20.0660","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C41","0.1uF 6v","BottomLayer","C0201_PERFECT","13.3604","20.8026","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C40","0.1uF 6v","BottomLayer","C0201_PERFECT","8.8899","18.3174","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C39","0.1uF 6v","BottomLayer","C0201_PERFECT","8.8242","21.3360","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
