Designator,Comment,Layer2,Footprint,Mid X,Mid Y,Rotation,Description,Manufacturer Part Number,Supplier 1,Supplier Part Number 1,,Layer
C45,9.5pF,TopLayer,PERFECT_0402,19.558,23.7827,270,CAP CER 9.5PF 50V C0G/NP0 0402,GCQ1555C1H9R5BB01D,Digikey,490-17528-1-ND,,Top
C44,9.5pF,TopLayer,PERFECT_0402,19.558,21.7111,90,CAP CER 9.5PF 50V C0G/NP0 0402,GCQ1555C1H9R5BB01D,Digikey,490-17528-1-ND,,Top
R20,1k,TopLayer,R0402_0.40MM_HD,8.0704,26.5329,270,RES 1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND,,Top
R19,1k,TopLayer,R0402_0.40MM_HD,6.5532,26.5248,270,RES 1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND,,Top
D4,LED 1.6X0.8MM 630NM RED CLR SMD,TopLayer,LED_0603_-_RED,8.15,29.561,90,LED 1.6X0.8MM 630NM RED CLR SMD,APT1608SURCK,Digi-Key,754-1123-1-ND,,Top
D3,LED 1.6X0.8MM 570NM GRN CLR SMD,TopLayer,LED_0603_-_GREEN,6.6022,29.561,90,LED 1.6X0.8MM 570NM GRN CLR SMD,APT1608CGCK,Digi-Key,754-1116-1-ND,,Top
T76,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,6.985,33.02,180,,,,,,Top
T75,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,8.255,35.56,180,,,,,,Top
T74,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,9.525,33.02,180,,,,,,Top
T73,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,10.795,35.56,180,,,,,,Top
T72,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,12.065,33.02,180,,,,,,Top
T71,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,13.335,35.56,180,,,,,,Top
T70,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,14.605,33.02,180,,,,,,Top
T69,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,15.875,35.56,180,,,,,,Top
T68,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,17.145,33.02,180,,,,,,Top
T67,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,18.415,35.56,180,,,,,,Top
T66,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,19.685,33.02,180,,,,,,Top
T65,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,20.955,35.56,180,,,,,,Top
T64,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,22.225,33.02,180,,,,,,Top
T63,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,23.495,35.56,180,,,,,,Top
T62,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,24.765,33.02,180,,,,,,Top
T61,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,26.035,35.56,180,,,,,,Top
T60,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,27.305,33.02,180,,,,,,Top
T59,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,28.575,35.56,180,,,,,,Top
T57,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,29.845,180,,,,,,Top
T56,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,28.575,180,,,,,,Top
T55,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,27.305,180,,,,,,Top
T54,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,26.035,180,,,,,,Top
T53,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,24.765,180,,,,,,Top
T52,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,23.495,180,,,,,,Top
T51,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,22.225,180,,,,,,Top
T50,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,20.955,180,,,,,,Top
T49,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,19.685,180,,,,,,Top
T48,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,18.415,180,,,,,,Top
T47,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,17.145,180,,,,,,Top
T46,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,15.875,180,,,,,,Top
T45,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,14.605,180,,,,,,Top
T44,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,13.335,180,,,,,,Top
T43,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,12.065,180,,,,,,Top
T42,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,10.795,180,,,,,,Top
T41,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,9.525,180,,,,,,Top
T40,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,35.56,8.255,180,,,,,,Top
T39,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,33.02,6.985,180,,,,,,Top
T38,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,29.845,3.81,180,,,,,,Top
T37,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,28.575,1.27,180,,,,,,Top
T36,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,27.305,3.81,180,,,,,,Top
T35,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,26.035,1.27,180,,,,,,Top
T34,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,24.765,3.81,180,,,,,,Top
T33,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,23.495,1.27,180,,,,,,Top
T32,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,22.225,3.81,180,,,,,,Top
T31,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,20.955,1.27,180,,,,,,Top
T30,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,19.685,3.81,180,,,,,,Top
T29,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,18.415,1.27,180,,,,,,Top
T28,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,17.145,3.81,180,,,,,,Top
T27,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,15.875,1.27,180,,,,,,Top
